,PROJECT.NAME,AGENCY.x,project.ZIP.x,project.CD.x,STATUS.x,artist.ZIP.x,project.START.date.x,FULL.1..amount.x,ART.contract...x,art.contract.START.x,COMMUNITY.MEETING.date.s..x,END.DATE.x,Hispanic..by.zip.code..2010,White..by.zip.code..2010,Black..by.zip.code..2010,Asian..by.zip.code..2010,Two.ore.more.races..by.zip.code..2010,American.Indian..by.zip.code..2010,Native.Hawaiin.or.Pacific.Islander...by.zip.code..2010,Age..25..by.zip.code..2010,Age.25.44..by.zip.code..2010,Age.45.64..by.zip.code..2010,Age..64..by.zip.code..2010,Median.Household.Income.1990.by.CD,Median.Household.Income.2000.by.CD,Median.Household.Income.2013.by.CD,X.x,X.1,X.y,project.ZIP.y,AGENCY.y,project.CD.y,STATUS.y,artist.ZIP.y,project.START.date.y,FULL.1..amount.y,ART.contract...y,art.contract.START.y,COMMUNITY.MEETING.date.s..y,END.DATE.y,Single.Family.Residences...City.Community,X2011,X2012,X2013,X2014,X2015,AGENCY,project.ZIP,project.CD,STATUS,artist.ZIP,project.START.date,FULL.1..amount,ART.contract..,art.contract.START,COMMUNITY.MEETING.date.s.,END.DATE,Year,Project.Neighborhood,Project.Area,Project.County,Artist.Neighborhood,Artist.Area,Artist.County,Local.Artist,Local.Artist2,Location.Type
53,El Sereno Branch Library,Library,90032,14,completed,90031,2/20/2001,"$20,000 ","$20,000 ",2/20/2001,2/26/2001,12/30/2003,"37,372","20,608","1,050","5,120","1,878",680,33,"17,822","14,823","9,785","4,809",NA,NA,"38,032.33",NA,,79,90032,Library,14,completed,90031,2/20/2001,"$20,000 ","$20,000 ",2/20/2001,2/26/2001,12/30/2003,Los Angeles (El Sereno/Monterey Hills),"275,900","284,950","358,450","380,650","400,850",Library,90032,14,completed,90031,2/20/2001,"$20,000 ","$20,000 ",2/20/2001,2/26/2001,12/30/2003,2003,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
54,El Sereno Constituent Services Center | CD 14,BOE,90032,14,completed,90048,11/8/2006,"$17,900 ","$15,000 ",11/18/2006,4/5/2007,3/7/2008,"37,372","20,608","1,050","5,120","1,878",680,33,"17,822","14,823","9,785","4,809",NA,NA,"38,032.33",NA,,80,90032,BOE,14,completed,90048,11/8/2006,"$17,900 ","$15,000 ",11/18/2006,4/5/2007,3/7/2008,Los Angeles (El Sereno/Monterey Hills),"275,900","284,950","358,450","380,650","400,850",BOE,90032,14,completed,90048,11/8/2006,"$17,900 ","$15,000 ",11/18/2006,4/5/2007,3/7/2008,2008,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Municipal Building
55,El Sereno Recreation Center,Rec+Parks,90032,14,completed,91030,9/1/1997,"$30,000 ","$23,000 ",7/1/1997,8/21/1997,2/3/2000,"37,372","20,608","1,050","5,120","1,878",680,33,"17,822","14,823","9,785","4,809",NA,NA,"38,032.33",NA,,78,90032,Rec+Parks,14,completed,91030,9/1/1997,"$30,000 ","$23,000 ",7/1/1997,8/21/1997,2/3/2000,Los Angeles (El Sereno/Monterey Hills),"275,900","284,950","358,450","380,650","400,850",Rec+Parks,90032,14,completed,91030,9/1/1997,"$30,000 ","$23,000 ",7/1/1997,8/21/1997,2/3/2000,2000,Los Angeles,Los Angeles,Los Angeles,South Pasadena,Pasadena,Los Angeles,City Artist,Local,Recreation
56,Emergency Operations Center | Artist-in-Residence,Police,90012,14,in development,tbd,tbd,"$107,317 ","$88,000 ",,,,"8,426","8,432","4,260","13,696",873,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,032.33",NA,,33,90012,Police,14,in development,tbd,tbd,"$107,317 ","$88,000 ",,,,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Emergency Operations Center | Curated Exhibition,Police,90012,14,in development,tbd,tbd,"$365,854 ","$300,000 ",,,,"8,426","8,432","4,260","13,696",871,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,032.33",NA,,28,90012,Police,14,in development,tbd,tbd,"$365,854 ","$300,000 ",,,,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Emergency Operations Center | Site-Specific Artwork,Police,90012,14,in development,tbd,tbd,"$213,414 ","$175,000 ",,,,"8,426","8,432","4,260","13,696",872,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,032.33",NA,,30,90012,Police,14,in development,tbd,tbd,"$213,414 ","$175,000 ",,,,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Encino Fire Station No. 83,Fire,91436,5,completed,94805,4/1/2003,"$56,000 ","$56,000 ",4/1/2003,n/a,,850,"12,627",300,742,521,148,9,"3,883","3,544","4,437","3,111",NA,NA,"64,545.08",NA,,248,91436,Fire,5,completed,94805,4/1/2003,"$56,000 ","$56,000 ",4/1/2003,n/a,,Los Angeles (Encino),"1,001,300","996,400","1,148,500","1,315,100","1,423,850",Fire,91436,5,completed,94805,4/1/2003,"$56,000 ","$56,000 ",4/1/2003,n/a,,,Encino,San Fernando Valley,Los Angeles,Richmond,Contra Costa,Contra Costa,Not Local,From California,Fire/Police Station
60,Encino Tarzana Branch Library,Library,91356,3,completed,90026,1/24/2001,"$20,000 ","$20,000 ",1/24/2001,5/9/2001,3/12/2003,"4,089","22,804","1,267","1,908","1,534",77,46,"8,348","8,875","8,476","4,928",NA,NA,"65,860.47",NA,,224,91356,Library,3,completed,90026,1/24/2001,"$20,000 ","$20,000 ",1/24/2001,5/9/2001,3/12/2003,Los Angeles (Tarzana),"845,600","858,600","1,011,250","1,074,300","1,131,450",Library,91356,3,completed,90026,1/24/2001,"$20,000 ","$20,000 ",1/24/2001,5/9/2001,3/12/2003,2003,Tarzana,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Library
61,Environmental Learning Center | Hyperion Treatment Plant,BOE,90293,11,completed,90065,12/14/2007,"$85,000 ","$70,000 ",2/12/2008,11/4/2009,5/26/2011,"1,284","9,220",692,"1,211",653,35,21,"2,054","5,432","3,536","1,577",NA,NA,"82,595.81",NA,,165,90293,BOE,11,completed,90065,12/14/2007,"$85,000 ","$70,000 ",2/12/2008,11/4/2009,5/26/2011,Los Angeles (Playa del Rey),"995,450","952,150","1,133,000","1,201,800","1,343,300",BOE,90293,11,completed,90065,12/14/2007,"$85,000 ","$70,000 ",2/12/2008,11/4/2009,5/26/2011,2011,Playa Del Rey,West Side,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,City Infrastructure
62,Evergreen Childcare Center,Rec+Parks,90033,14,completed,90026,9/1/1997,"$9,100 ","$7,600 ",9/1/1997,5/12/1998,9/15/2005,"44,703","22,458",926,"2,124","1,938",538,23,"21,307","15,470","9,045","4,423",NA,NA,"38,032.33",NA,,84,90033,Rec+Parks,14,completed,90026,9/1/1997,"$9,100 ","$7,600 ",9/1/1997,5/12/1998,9/15/2005,Los Angeles (Boyle Heights),"205,350","210,500","249,200","319,500","364,500",Rec+Parks,90033,14,completed,90026,9/1/1997,"$9,100 ","$7,600 ",9/1/1997,5/12/1998,9/15/2005,2005,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Adult/Childcare and Development
63,Exposition Park Intergenerational Community Center,Rec+Parks,90037,9,completed,90042,2/2/2000,"$190,000 ","$155,800 ",6/30/2000,9/26/2000,5/14/2003,"46,954","16,397","13,893",540,"2,521",686,58,"27,119","21,033","12,343","3,889",NA,NA,"28,883.41",NA,,96,90037,Rec+Parks,9,completed,90042,2/2/2000,"$190,000 ","$155,800 ",6/30/2000,9/26/2000,5/14/2003,Los Angeles (South L.A.),"206,850","212,550","268,300","326,700","358,800",Rec+Parks,90037,9,completed,90042,2/2/2000,"$190,000 ","$155,800 ",6/30/2000,9/26/2000,5/14/2003,2003,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Adult/Childcare and Development
64,Exposition Park Regional Branch Library,Library,90062,8,completed,91101,8/9/2006,"$41,300 ","$35,000 ",8/9/2006,10/11/2007,8/6/2008,"19,373","6,955","12,420",387,"1,473",275,28,"13,095","10,550","7,469","2,958",NA,NA,"30,989.52",NA,,146,90062,Library,8,completed,91101,8/9/2006,"$41,300 ","$35,000 ",8/9/2006,10/11/2007,8/6/2008,Los Angeles (South L.A.),"229,500","238,550","293,500","357,500","380,650",Library,90062,8,completed,91101,8/9/2006,"$41,300 ","$35,000 ",8/9/2006,10/11/2007,8/6/2008,2008,Los Angeles,Los Angeles,Los Angeles,Pasadena,Pasadena,Los Angeles,City Artist,Local,Library
65,F.A.A Air Traffic Control Tower,LAWA,90045,11,completed,98232,7/1/1992,"$68,500 ","$64,000 ",,,10/1/1995,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,112,90045,LAWA,11,completed,98232,7/1/1992,"$68,500 ","$64,000 ",,,10/1/1995,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",LAWA,90045,11,completed,98232,7/1/1992,"$68,500 ","$64,000 ",,,10/1/1995,1995,Los Angeles,Los Angeles,Los Angeles,Washington,Washington,Washington,Not Local,Out of State,Airport
66,Fairfax Branch Library,Library,90036,4,completed,90232,8/9/2001,"$35,000 ","$35,000 ",8/9/2001,3/6/2002,9/21/2005,"2,993","24,801","2,148","7,519","1,384",74,38,"9,483","17,830","7,232","3,377",NA,NA,"58,888.16",NA,,91,90036,Library,4,completed,90232,8/9/2001,"$35,000 ","$35,000 ",8/9/2001,3/6/2002,9/21/2005,Los Angeles (Park La Brea),"1,035,950","1,011,400","1,224,400","1,346,350","1,469,850",Library,90036,4,completed,90232,8/9/2001,"$35,000 ","$35,000 ",8/9/2001,3/6/2002,9/21/2005,2005,Los Angeles,Los Angeles,Los Angeles,Culver City,West Side,Los Angeles,City Artist,Local,Library
67,Fairfax Branch Library [#2],Library,90036,4,completed,90019,7/11/2009,"$30,000 ","$30,000 ",7/11/2009,8/11/2009,7/27/2010,"2,994","24,801","2,148","7,519","1,384",74,38,"9,483","17,830","7,232","3,377",NA,NA,"58,888.16",NA,,90,90036,Library,4,completed,90019,7/11/2009,"$30,000 ","$30,000 ",7/11/2009,8/11/2009,7/27/2010,Los Angeles (Park La Brea),"1,035,950","1,011,400","1,224,400","1,346,350","1,469,850",Library,90036,4,completed,90019,7/11/2009,"$30,000 ","$30,000 ",7/11/2009,8/11/2009,7/27/2010,2010,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
68,Felipe de Neve Branch Library,Library,90057,10,completed,90803,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,,10/27/1998,"31,147","12,924","2,087","8,991","2,389",722,99,"16,274","17,476","8,449","4,003",NA,NA,"38,673.58",NA,,142,90057,Library,10,completed,90803,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,,10/27/1998,Los Angeles (Westlake),"380,050","415,850","487,900","540,850","612,900",Library,90057,10,completed,90803,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,,10/27/1998,1998,Los Angeles,Los Angeles,Los Angeles,Long Beach,Long Beach,Los Angeles,City Artist,Local,Library
69,Fred Roberts Gymnasium and Recreation Center,Rec+Parks,90011,9,completed,90026,5/8/2007,"$38,000 ","$39,500 ",5/8/2007,9/26/2007,5/7/2011,"92,879","35,138","9,764",591,"4,384","1,219",37,"49,755","35,383","16,922","4,788",NA,NA,"28,883.41",NA,,15,90011,Rec+Parks,9,completed,90026,5/8/2007,"$38,000 ","$39,500 ",5/8/2007,9/26/2007,5/7/2011,Los Angeles (South L.A.),"178,800","194,250","243,050","287,950","328,000",Rec+Parks,90011,9,completed,90026,5/8/2007,"$38,000 ","$39,500 ",5/8/2007,9/26/2007,5/7/2011,2011,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Recreation
70,Fremont Branch Library,Library,90036,4,completed,90405,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,,4/1/1996,"2,991","24,801","2,148","7,519","1,384",74,38,"9,483","17,830","7,232","3,377",NA,NA,"58,888.16",NA,,93,90036,Library,4,completed,90405,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,,4/1/1996,Los Angeles (Park La Brea),"1,035,950","1,011,400","1,224,400","1,346,350","1,469,850",Library,90036,4,completed,90405,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,,4/1/1996,1996,Los Angeles,Los Angeles,Los Angeles,Santa Monica,West Side,Los Angeles,City Artist,Local,Library
71,Gaffey Street Pool,Rec+Parks,90731,15,active,90813,11/6/2014,"$41,000 ","$68,000 ",11/6/2014,9/21/2015,,"34,816","31,732","4,369","2,721","3,952",721,352,"20,559","19,732","15,415","6,170",NA,NA,"44,302.32",NA,,172,90731,Rec+Parks,15,active,90813,11/6/2014,"$41,000 ","$68,000 ",11/6/2014,9/21/2015,,Los Angeles (San Pedro/Terminal Island),"417,400","387,800","467,850","515,900","537,650",Rec+Parks,90731,15,active,90813,11/6/2014,"$41,000 ","$68,000 ",11/6/2014,9/21/2015,,,San Pedro,LA Harbor Area,Los Angeles,Long Beach,Long Beach,Los Angeles,City Artist,Local,Recreation
72,Gilbert Lindsay Recreation Center,Rec+Parks,90011,9,completed,90037,4/12/2007,"$15,000 ","$12,300 ",4/12/2007,9/27/2007,4/11/2010,"92,879","35,138","9,764",591,"4,384","1,219",37,"49,755","35,382","16,922","4,787",NA,NA,"28,883.41",NA,,16,90011,Rec+Parks,9,completed,90037,4/12/2007,"$15,000 ","$12,300 ",4/12/2007,9/27/2007,4/11/2010,Los Angeles (South L.A.),"178,800","194,250","243,050","287,950","328,000",Rec+Parks,90011,9,completed,90037,4/12/2007,"$15,000 ","$12,300 ",4/12/2007,9/27/2007,4/11/2010,2010,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Recreation
73,Glenoaks Blvd. Bridge over Tujunga Wash,BIP,91352,6,completed,90056,9/22/2003,"$11,702 ","$10,000 ",N/A,3/22/2005,2/1/2009,"35,314","24,825",861,"3,034","1,917",401,89,"18,729","15,495","10,944","4,310",NA,NA,"47,493.67",NA,,221,91352,BIP,6,completed,90056,9/22/2003,"$11,702 ","$10,000 ",N/A,3/22/2005,2/1/2009,Los Angeles (Sun Valley),"286,850","289,450","342,350","391,850","416,300",BIP,91352,6,completed,90056,9/22/2003,"$11,702 ","$10,000 ",N/A,3/22/2005,2/1/2009,2009,Sun Valley,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Bridge/Road Infrastructure
74,Good Beginnings Early Childhood Education Program,CDD,90006,1,completed,90019,9/1/2003,"$7,530 ","$6,200 ",9/1/2003,9/17/2003,2/11/2004,"44,074","18,869","2,179","10,934","2,774",626,46,"21,547","21,688","13,146","4,724",NA,NA,"38,673.58",NA,Sources,9,90006,CDD,1,completed,90019,9/1/2003,"$7,530 ","$6,200 ",9/1/2003,9/17/2003,2/11/2004,Los Angeles (Pico Heights),"352,800","363,700","444,650","554,700","635,650",CDD,90006,1,completed,90019,9/1/2003,"$7,530 ","$6,200 ",9/1/2003,9/17/2003,2/11/2004,2004,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Adult/Childcare and Development
75,Granada Hills Community Center,Rec+Parks,91344,12,completed,90039,2/1/1998,"$21,000 ","$17,000 ",2/1/1998,"3/8/98, 1/13/99",6/19/2001,"14,841","32,636","1,797","9,081","2,358",267,52,"16,032","15,084","15,212","7,651",NA,NA,"66,792.32",NA,,211,91344,Rec+Parks,12,completed,90039,2/1/1998,"$21,000 ","$17,000 ",2/1/1998,"3/8/98, 1/13/99",6/19/2001,Los Angeles (Granada Hills),"402,700","398,800","464,550","517,700","541,850",Rec+Parks,91344,12,completed,90039,2/1/1998,"$21,000 ","$17,000 ",2/1/1998,"3/8/98, 1/13/99",6/19/2001,2001,Granada Hills,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Recreation
76,Green Meadows Gymnasium,Rec+Parks,90003,9,completed,90042,4/10/2003,"$25,000 ","$23,780 ",4/10/2003,6/4/2003,2/23/2006,"49,386","19,878","16,181",149,"2,516",516,61,"31,725","21,432","11,725","3,418",NA,NA,"28,883.41",NA,,5,90003,Rec+Parks,9,completed,90042,4/10/2003,"$25,000 ","$23,780 ",4/10/2003,6/4/2003,2/23/2006,Los Angeles (South L.A.),"168,600","181,100","225,050","272,100","296,000",Rec+Parks,90003,9,completed,90042,4/10/2003,"$25,000 ","$23,780 ",4/10/2003,6/4/2003,2/23/2006,2006,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Recreation
77,Harbor Animal Care & Services Center,Animal Services,90731,15,completed,90731,5/13/2003,"$68,100 ","$55,850 ",5/13/2003,9/12/2005,8/19/2008,"34,816","31,732","4,369","2,721","3,952",721,352,"20,559","19,732","15,415","6,170",NA,NA,"44,302.32",NA,,173,90731,Animal Services,15,completed,90731,5/13/2003,"$68,100 ","$55,850 ",5/13/2003,9/12/2005,8/19/2008,Los Angeles (San Pedro/Terminal Island),"417,400","387,800","467,850","515,900","537,650",Animal Services,90731,15,completed,90731,5/13/2003,"$68,100 ","$55,850 ",5/13/2003,9/12/2005,8/19/2008,2008,San Pedro,LA Harbor Area,Los Angeles,San Pedro,LA Harbor Area,Los Angeles,Neighborhood Artist,Local,Animal Services
78,Harbor Gateway-Harbor City Branch Library,Library,90710,15,completed,90035,11/12/2002,"$20,000 ","$20,000 ",11/12/2002,5/13/2004,10/11/2006,"11,422","10,657","3,390","4,614","1,422",222,153,"8,734","7,931","6,416","3,318",NA,NA,"44,302.32",NA,,166,90710,Library,15,completed,90035,11/12/2002,"$20,000 ","$20,000 ",11/12/2002,5/13/2004,10/11/2006,Los Angeles (Harbor City),"417,550","413,950","467,600","495,350","521,000",Library,90710,15,completed,90035,11/12/2002,"$20,000 ","$20,000 ",11/12/2002,5/13/2004,10/11/2006,2006,Harbor City,LA Harbor Area,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Library
79,Harbor Police Station | Lobby Artwork,Police,90731,15,in development,tbd,tbd,"$226,340 ","$185,600 ",,,,"31,732","34,816","4,369","2,721","3,952",721,352,"20,559","19,732","15,415","6,170",NA,NA,"44,302.32",NA,,169,90731,Police,15,in development,tbd,tbd,"$226,340 ","$185,600 ",,,,Los Angeles (San Pedro/Terminal Island),"417,400","387,800","467,850","515,900","537,650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Harbor Police Station | Site-Specific Artwork,Police,90731,15,completed,10013,9/24/2003,"$309,302 ","$253,650 ",9/24/2003,6/16/2004,,"34,816","31,732","4,369","2,721","3,952",721,352,"20,559","19,732","15,415","6,170",NA,NA,"44,302.32",NA,,167,90731,Police,15,completed,10013,9/24/2003,"$309,302 ","$253,650 ",9/24/2003,6/16/2004,,Los Angeles (San Pedro/Terminal Island),"417,400","387,800","467,850","515,900","537,650",Police,90731,15,completed,10013,9/24/2003,"$309,302 ","$253,650 ",9/24/2003,6/16/2004,,,San Pedro,LA Harbor Area,Los Angeles,New York,New York,New York,Not Local,Out of State,Fire/Police Station
81,Harbor Police Station | Youth Apprenticeship in Public Art [YAPA],Police,90731,15,in development,tbd,tbd,"$89,948 ","$73,758 ",,,,"31,732","34,816","4,369","2,721","3,952",721,352,"20,559","19,732","15,415","6,170",NA,NA,"44,302.32",NA,,171,90731,Police,15,in development,tbd,tbd,"$89,948 ","$73,758 ",,,,Los Angeles (San Pedro/Terminal Island),"417,400","387,800","467,850","515,900","537,650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,Hollenbeck Police Station | Memorial to Fallen Officers,Police,90033,14,active,90007,3/8/2012,"$30,730 ","$25,000 ",3/8/2012,5/20/2015,,"44,703","22,458",926,"2,124","1,938",538,23,"21,307","15,470","9,045","4,423",NA,NA,"38,032.33",NA,,81,90033,Police,14,active,90007,3/8/2012,"$30,730 ","$25,000 ",3/8/2012,5/20/2015,,Los Angeles (Boyle Heights),"205,350","210,500","249,200","319,500","364,500",Police,90033,14,active,90007,3/8/2012,"$30,730 ","$25,000 ",3/8/2012,5/20/2015,,,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Fire/Police Station
83,Hollenbeck Police Station | Site-Specific Artwork,Police,90033,14,active,90031,7/1/2014,"$209,947 ","$170,800 ",7/1/2014,5/20/2015,,"44,703","22,458",926,"2,124","1,938",538,23,"21,307","15,470","9,045","4,423",NA,NA,"38,032.33",NA,,87,90033,Police,14,active,90031,7/1/2014,"$209,947 ","$170,800 ",7/1/2014,5/20/2015,,Los Angeles (Boyle Heights),"205,350","210,500","249,200","319,500","364,500",Police,90033,14,active,90031,7/1/2014,"$209,947 ","$170,800 ",7/1/2014,5/20/2015,,,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Fire/Police Station
84,Hollywood Fire Station No. 82,Fire,90028,13,completed,87502,11/30/2007,"$100,000 ","$105,001 ",11/30/2007,10/14/2008,3/31/2016,"9,229","18,132","2,282","2,396","1,422",211,59,"7,340","13,227","5,873","3,020",NA,NA,"39,267.94",NA,,69,90028,Fire,13,completed,87502,11/30/2007,"$100,000 ","$105,001 ",11/30/2007,10/14/2008,3/31/2016,Los Angeles (Hollywood),"563,300","556,100","640,950","728,900","804,700",Fire,90028,13,completed,87502,11/30/2007,"$100,000 ","$105,001 ",11/30/2007,10/14/2008,3/31/2016,2016,Los Angeles,Los Angeles,Los Angeles,New Mexico,New Mexico,New Mexico,Not Local,Out of State,Fire/Police Station
85,Hollywood Pool and Bathhouse,Rec+Parks,90038,13,active,90058,1/18/2012,"$20,000 ","$16,400 ",1/18/2012,n/a,,"17,056","14,888","1,224","2,348","1,465",194,41,"9,273","12,007","6,274","2,191",NA,NA,"39,267.94",NA,,97,90038,Rec+Parks,13,active,90058,1/18/2012,"$20,000 ","$16,400 ",1/18/2012,n/a,,Los Angeles (Hollywood),"489,250","492,800","615,200","753,150","802,850",Rec+Parks,90038,13,active,90058,1/18/2012,"$20,000 ","$16,400 ",1/18/2012,n/a,,,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Recreation
86,Hyde Park Branch Library,Library,90043,8,completed,90012,8/7/2001,"$20,000 ","$20,000 ",8/7/2001,9/19/2001,2/8/2005,"13,049","4,923","29,500",380,"1,922",273,39,"15,289","12,878","12,150","6,299",NA,NA,"30,989.52",NA,,105,90043,Library,8,completed,90012,8/7/2001,"$20,000 ","$20,000 ",8/7/2001,9/19/2001,2/8/2005,Los Angeles (Hyde Park)/View Park/Windsor Hills,"300,050","307,950","363,200","404,550","428,400",Library,90043,8,completed,90012,8/7/2001,"$20,000 ","$20,000 ",8/7/2001,9/19/2001,2/8/2005,2005,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
87,Imperial Courts Community Center,Rec+Parks,90059,15,completed,90039,7/1/1997,"$14,000 ","$16,250 ",7/1/1997,8/27/1997,9/4/2002,"26,242","8,900","14,047",116,"1,467",274,64,"20,002","12,283","7,618","2,337",NA,NA,"44,302.32",NA,,143,90059,Rec+Parks,15,completed,90039,7/1/1997,"$14,000 ","$16,250 ",7/1/1997,8/27/1997,9/4/2002,Los Angeles (Watts),"167,550","180,600","215,450","251,850","276,350",Rec+Parks,90059,15,completed,90039,7/1/1997,"$14,000 ","$16,250 ",7/1/1997,8/27/1997,9/4/2002,2002,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Recreation
88,Jefferson Branch Library,Library,90018,10,completed,91602,11/1/1998,"$20,000 ","$20,000 ",4/1/1999,10/4/1999,7/10/2003,"29,312","12,825","15,663","1,821","2,326",471,65,"18,265","16,375","11,265","5,154",NA,NA,"38,673.58",NA,,50,90018,Library,10,completed,91602,11/1/1998,"$20,000 ","$20,000 ",4/1/1999,10/4/1999,7/10/2003,Los Angeles (Jefferson Park),"264,900","268,900","330,350","416,000","478,050",Library,90018,10,completed,91602,11/1/1998,"$20,000 ","$20,000 ",4/1/1999,10/4/1999,7/10/2003,2003,Los Angeles,Los Angeles,Los Angeles,North Hollywood,San Fernando Valley,Los Angeles,City Artist,Local,Library
89,John Muir Branch Library,Library,90044,8,completed,90717,11/1/1996,"$18,750 ","$19,000 ",,,1/10/1998,"54,351","20,135","33,656",338,"3,566",666,81,"39,807","28,605","17,957","6,566",NA,NA,"30,989.52",NA,,107,90044,Library,8,completed,90717,11/1/1996,"$18,750 ","$19,000 ",,,1/10/1998,Los Angeles (South L.A.),"205,450","206,750","245,700","293,200","319,250",Library,90044,8,completed,90717,11/1/1996,"$18,750 ","$19,000 ",,,1/10/1998,1998,Los Angeles,Los Angeles,Los Angeles,Lomita,South Bay,Los Angeles,City Artist,Local,Library
90,Junipero Serra Branch Library,Library,90037,9,completed,90019,1/1/1996,"$28,000 ","$28,000 ",1/1/1996,9/21/1995,6/1/1999,"46,954","16,396","13,893",540,"2,521",686,58,"27,119","21,033","12,343","3,889",NA,NA,"28,883.41",NA,,94,90037,Library,9,completed,90019,1/1/1996,"$28,000 ","$28,000 ",1/1/1996,9/21/1995,6/1/1999,Los Angeles (South L.A.),"206,850","212,550","268,300","326,700","358,800",Library,90037,9,completed,90019,1/1/1996,"$28,000 ","$28,000 ",1/1/1996,9/21/1995,6/1/1999,1999,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
91,King Boulevard Gateway,BOE,90016,10,completed,90013,10/25/2011,"$160,512 ","$150,000 ",10/25/2011,12/9/2011,7/11/2014,"25,462","11,653","17,829","1,473","2,375",429,54,"17,324","16,059","11,210","4,770",NA,NA,"38,673.58",NA,,46,90016,BOE,10,completed,90013,10/25/2011,"$160,512 ","$150,000 ",10/25/2011,12/9/2011,7/11/2014,Los Angeles (Mid-City),"305,650","316,650","398,050","444,950","490,950",BOE,90016,10,completed,90013,10/25/2011,"$160,512 ","$150,000 ",10/25/2011,12/9/2011,7/11/2014,2014,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Municipal Building
