,PROJECT.NAME,AGENCY.x,project.ZIP.x,project.CD.x,STATUS.x,artist.ZIP.x,project.START.date.x,FULL.1..amount.x,ART.contract...x,art.contract.START.x,COMMUNITY.MEETING.date.s..x,END.DATE.x,Hispanic..by.zip.code..2010,White..by.zip.code..2010,Black..by.zip.code..2010,Asian..by.zip.code..2010,Two.ore.more.races..by.zip.code..2010,American.Indian..by.zip.code..2010,Native.Hawaiin.or.Pacific.Islander...by.zip.code..2010,Age..25..by.zip.code..2010,Age.25.44..by.zip.code..2010,Age.45.64..by.zip.code..2010,Age..64..by.zip.code..2010,Median.Household.Income.1990.by.CD,Median.Household.Income.2000.by.CD,Median.Household.Income.2013.by.CD,X.x,X.1,X.y,project.ZIP.y,AGENCY.y,project.CD.y,STATUS.y,artist.ZIP.y,project.START.date.y,FULL.1..amount.y,ART.contract...y,art.contract.START.y,COMMUNITY.MEETING.date.s..y,END.DATE.y,Single.Family.Residences...City.Community,X2011,X2012,X2013,X2014,X2015,AGENCY,project.ZIP,project.CD,STATUS,artist.ZIP,project.START.date,FULL.1..amount,ART.contract..,art.contract.START,COMMUNITY.MEETING.date.s.,END.DATE,Year,Project.Neighborhood,Project.Area,Project.County,Artist.Neighborhood,Artist.Area,Artist.County,Local.Artist,Local.Artist2,Location.Type
33,Chatsworth Metrolink Station,DOT,91311,12,completed,90291,10/1/1994,"$40,000 ","$40,000 ",6/1/1995,,6/18/1997,"7,934","24,118","1,540","6,036","1,705",208,58,"10,222","10,812","11,510","5,634",NA,NA,"66,792.32",NA,,190,91311,DOT,12,completed,90291,10/1/1994,"$40,000 ","$40,000 ",6/1/1995,,6/18/1997,Los Angeles (Chatsworth),"451,200","448,050","509,150","582,800","601,550",DOT,91311,12,completed,90291,10/1/1994,"$40,000 ","$40,000 ",6/1/1995,,6/18/1997,1997,Chatsworth,San Fernando Valley,Los Angeles,Venice,West Side,Los Angeles,City Artist,Local,Public Transport
34,Chinatown Branch Library [#1],Library,90012,1,completed,90065,2/6/2001,"$20,000 ","$20,000 ",2/6/2001,4/26/2001,3/12/2003,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,673.58",NA,,36,90012,Library,1,completed,90065,2/6/2001,"$20,000 ","$20,000 ",2/6/2001,4/26/2001,3/12/2003,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",Library,90012,1,completed,90065,2/6/2001,"$20,000 ","$20,000 ",2/6/2001,4/26/2001,3/12/2003,2003,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
35,Chinatown Branch Library [#2],Library,90012,1,completed,91324,6/1/2005,"$15,000 ","$15,000 ",6/1/2005,n/a,6/24/2006,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,673.58",NA,,23,90012,Library,1,completed,91324,6/1/2005,"$15,000 ","$15,000 ",6/1/2005,n/a,6/24/2006,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",Library,90012,1,completed,91324,6/1/2005,"$15,000 ","$15,000 ",6/1/2005,n/a,6/24/2006,2006,Los Angeles,Los Angeles,Los Angeles,Northridge,San Fernando Valley,Los Angeles,City Artist,Local,Library
36,Civic Center Fire Station No. 4,Fire,90071,14,completed,91001,1/24/2008,"$130,000 ","$76,000 ",1/24/2008,n/a,1/23/2011,5,9,5,1,0,0,0,4,4,8,0,NA,NA,"38,032.33",NA,,157,90071,Fire,14,completed,91001,1/24/2008,"$130,000 ","$76,000 ",1/24/2008,n/a,1/23/2011,NA,NA,NA,NA,NA,NA,Fire,90071,14,completed,91001,1/24/2008,"$130,000 ","$76,000 ",1/24/2008,n/a,1/23/2011,2011,Los Angeles,Los Angeles,Los Angeles,Altadena,0,Los Angeles,City Artist,Local,Fire/Police Station
37,Colfax Ave. Bridge over LA River,BIP,91604,2,completed,92086,9/10/2003,"$37,479 ","$10,000 ",N/A,6/28/2006,,"2,471","24,008","1,194","1,946","1,153",80,26,"6,491","11,667","8,114","3,901",NA,NA,"38,673.58",NA,,255,91604,BIP,2,completed,92086,9/10/2003,"$37,479 ","$10,000 ",N/A,6/28/2006,,Los Angeles (Studio City),"887,750","927,300","1,088,350","1,215,700","1,297,900",BIP,91604,2,completed,92086,9/10/2003,"$37,479 ","$10,000 ",N/A,6/28/2006,,,Studio City,San Fernando Valley,Los Angeles,Warner Springs,San Diego,San Diego,Not Local,From California,Bridge/Road Infrastructure
38,Corbin and Mason Ave. Bridges,BIP,91367,12,completed,90230,7/22/2002,"$12,300 ","$12,300 ",N/A,9/25/2002,,"4,375","29,153","1,824","4,882","1,979",152,56,"10,315","13,168","11,020","6,517",NA,NA,"66,792.32",NA,,225,91367,BIP,12,completed,90230,7/22/2002,"$12,300 ","$12,300 ",N/A,9/25/2002,,Los Angeles (Woodland Hills),"549,450","555,850","677,250","716,950","731,900",BIP,91367,12,completed,90230,7/22/2002,"$12,300 ","$12,300 ",N/A,9/25/2002,,,Woodland Hills,San Fernando Valley,Los Angeles,Culver City,West Side,Los Angeles,City Artist,Local,Bridge/Road Infrastructure
39,Crenshaw Fire Station No. 94,Fire,90008,10,completed,90026,2/5/2008,"$124,000 ","$102,000 ",2/5/2008,none required,5/15/2011,"7,561","2,747","22,581",829,"1,258",144,30,"10,188","9,808","8,840","4,942",NA,NA,"38,673.58",NA,,14,90008,Fire,10,completed,90026,2/5/2008,"$124,000 ","$102,000 ",2/5/2008,none required,5/15/2011,Los Angeles (Baldwin Hills/Crenshaw/Leimert Park),"384,650","393,300","476,300","556,350","608,400",Fire,90008,10,completed,90026,2/5/2008,"$124,000 ","$102,000 ",2/5/2008,none required,5/15/2011,2011,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Fire/Police Station
40,Culver Slauson Recreation Center,Rec+Parks,90230,11,active,91030,8/1/2013,"$11,480 ","$14,000 ",8/1/2013,,,"10,325","17,175","3,299","4,661","1,806",191,88,"9,218","10,776","8,465","4,588",NA,NA,"82,595.81",NA,,159,90230,Rec+Parks,11,active,91030,8/1/2013,"$11,480 ","$14,000 ",8/1/2013,,,Culver City,"630,050","635,250","750,100","812,100","873,850",Rec+Parks,90230,11,active,91030,8/1/2013,"$11,480 ","$14,000 ",8/1/2013,,,,Culver City,West Side,Los Angeles,South Pasadena,Pasadena,Los Angeles,City Artist,Local,Recreation
41,Cypress Park Branch Library [#1],Library,90065,1,completed,91331,2/9/2000,"$20,000 ","$20,000 ",2/9/2000,3/27/2000,1/6/2003,"29,101","22,180",917,"7,021","2,320",370,36,"15,134","15,698","11,218","5,041",NA,NA,"38,673.58",NA,,153,90065,Library,1,completed,91331,2/9/2000,"$20,000 ","$20,000 ",2/9/2000,3/27/2000,1/6/2003,Los Angeles (Cypress Park/Glassell Park),"433,150","439,150","535,600","590,800","640,750",Library,90065,1,completed,91331,2/9/2000,"$20,000 ","$20,000 ",2/9/2000,3/27/2000,1/6/2003,2003,Los Angeles,Los Angeles,Los Angeles,Pacoima,San Fernando Valley,Los Angeles,City Artist,Local,Library
42,Cypress Park Branch Library [#2],Library,90065,1,completed,90302,9/1/2004,"$10,000 ","$10,000 ",9/1/2004,n/a,4/20/2005,"29,101","22,180",917,"7,021","2,320",370,36,"15,134","15,698","11,218","5,041",NA,NA,"38,673.58",NA,,152,90065,Library,1,completed,90302,9/1/2004,"$10,000 ","$10,000 ",9/1/2004,n/a,4/20/2005,Los Angeles (Cypress Park/Glassell Park),"433,150","439,150","535,600","590,800","640,750",Library,90065,1,completed,90302,9/1/2004,"$10,000 ","$10,000 ",9/1/2004,n/a,4/20/2005,2005,Los Angeles,Los Angeles,Los Angeles,Inglewood,South Bay,Los Angeles,City Artist,Local,Library
